words,A MIDSUMMER NIGHT’S DREAM,ALL’S WELL THAT ENDS WELL,AS YOU LIKE IT,CYMBELINE,KING HENRY THE EIGHTH,KING JOHN,KING RICHARD THE SECOND,KING RICHARD THE THIRD,LOVE’S LABOUR’S LOST,MEASURE FOR MEASURE,MUCH ADO ABOUT NOTHING,"PERICLES, PRINCE OF TYRE",THE COMEDY OF ERRORS,THE FIRST PART OF HENRY THE SIXTH,THE FIRST PART OF KING HENRY THE FOURTH,THE HISTORY OF TROILUS AND CRESSIDA,THE LIFE OF KING HENRY THE FIFTH,THE LIFE OF TIMON OF ATHENS,THE MERCHANT OF VENICE,THE RAPE OF LUCRECE,THE SECOND PART OF KING HENRY THE FOURTH,THE SECOND PART OF KING HENRY THE SIXTH,THE TAMING OF THE SHREW,THE TEMPEST,THE THIRD PART OF KING HENRY THE SIXTH,THE TRAGEDY OF ANTONY AND CLEOPATRA,THE TRAGEDY OF CORIOLANUS,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",THE TRAGEDY OF JULIUS CAESAR,THE TRAGEDY OF KING LEAR,THE TRAGEDY OF MACBETH,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",THE TRAGEDY OF ROMEO AND JULIET,THE TRAGEDY OF TITUS ANDRONICUS,THE TWO GENTLEMEN OF VERONA,THE WINTER’S TALE,"TWELFTH NIGHT: OR, WHAT YOU WILL",VENUS AND ADONIS
a,0.01368366584258,0.016689621647898,0.0181031090122,0.013261870404728,0.014643545279384,0.013831638728589,0.010860270224047,0.010167215525786,0.018674541822288,0.016207737887766,0.020357912324671,0.014960709248439,0.013155468125653,0.012257047802487,0.019091404971558,0.014884590493996,0.014314779828513,0.013418043202033,0.018634349752411,0.011102985173858,0.017592791246514,0.013128044925434,0.017335358770441,0.015029097689135,0.010651024582256,0.010215236156659,0.011773538545542,0.014285269677259,0.01116548676771,0.012820052429346,0.011691180432089,0.014052858722403,0.015587897357334,0.01192833786211,0.017757158854583,0.014350252458145,0.01693175987686,0.013171329385338
about,0.000344966365779,0.00032407032326,0.000262363898728,0.000274857417715,0.000578034682081,0.000458001282404,0.000128270908158,0.00035169613454,0.000173716668114,0.000348553502963,0.000659543595832,0.000201491033649,0.000430319050839,0.000437751707232,0.000272734356737,0.000287624937082,0.000399651213486,0.00010165184244,0.000694987403353,0.000332424705804,0.00057212329257,0.000334709360705,0.000312751318023,0.000395502570767,0.000347316018987,0.000226167590184,0.000477766781558,0.000466838878342,0.000807716064047,0.000359105110066,0.000646516890254,0.000428005849413,0.000421294523171,0.000368442868328,0.000434216239687,0.000645381724308,0.000373151732823,0.000204206657137
after,0.000229977577186,0.000526614275298,0.000481000481,0.000549714835429,0.000539499036609,0.000366401025923,0.000256541816316,0.00035169613454,0.000260575002171,0.000653537818055,0.000351756584444,0.000402982067298,6.14741501198746E-05,0.000131325512169,0.000467544611548,0.000359531171353,0.000326987356489,0.000355781448539,0.000304056988967,0.000465394588126,0.000393334763642,0.000334709360705,0.000357430077741,0.000565003672524,0.000347316018987,0.000414640582005,0.000409514384193,0.000342348510784,0.000475127096498,0.000466836643085,0.000215505630085,0.000463673003531,0.000153198008426,0.000230276792705,0.000502776698585,0.000265745415892,0.000606371565838,0.000510516642843
again,0.000804921520152,0.001093737341003,0.000743364379728,0.000824572253144,0.001001926782274,0.001465604103691,0.000940653326492,0.000799309396681,0.000738295839486,0.000784245381666,0.000351756584444,0.000705218617772,0.000983586401918,0.000919278585186,0.000896127172134,0.000862874811246,0.000399651213486,0.000864040660737,0.000673269046999,0.000664849411608,0.000643638704141,0.000818178437279,0.000580823876329,0.001356008814057,0.000926176050631,0.000791586565645,0.000819028768385,0.001027045532352,0.000950254192997,0.000682299709125,0.001131404557944,0.001355351856475,0.000995787054768,0.000552664302492,0.000274241835592,0.000797236247675,0.000886235365455,0.001633653257096
against,0.000229977577186,0.000607631856113,0.000612182430364,0.000377928949358,0.001001926782274,0.000778602180086,0.000769625448948,0.000575502765611,0.0003040041692,0.000653537818055,0.000571604449721,0.000151118275237,0.000614741501199,0.000569077219401,0.000506506662511,0.000287624937082,0.000472315070484,0.000559085133418,0.000369212058031,0.000664849411608,0.000643638704141,0.00040908921864,0.000178715038871,0.00022600146901,0.000463088025315,0.000452335180369,0.001023785960482,0.0005913292459,0.000380101677199,0.000646389198118,0.00048488766769,0.000499340157649,0.000344695518958,0.000276332151246,0.00034280229449,0.0004555635701,0.00032650776622,0.000102103328569
age,5.74943942965561E-05,0.000243052742445,0.000393545848091,0.000137428708857,7.70712909441233E-05,4.58001282403591E-05,0.000384812724474,0.000415640886274,4.34291670285764E-05,8.71383757406762E-05,0.000351756584444,0.000100745516825,0.00012294830024,0.000437751707232,0.000233772305774,0.000107859351406,0.000145327713995,0.000203303684879,0.000108591781774,0.000465394588126,0.000178788528928,0.000371899289672,0.000178715038871,0.000169501101757,7.71813375525798E-05,3.76945983640544E-05,0.000136504794731,0.000280103327005,0.000190050838599,0.000395015621072,0.000107752815042,3.56671541177729E-05,0.000229797012639,0.00046055358541,0.000228534862993,0.00022778178505,9.32879332058398E-05,0.000204206657137
all,0.004657045938021,0.003524264765454,0.003585639949276,0.003298289012575,0.004971098265896,0.00384721077219,0.003890884214127,0.003996546983406,0.003170329193086,0.003572673405368,0.003429626698325,0.003979447914568,0.002520440154915,0.003283137804237,0.004714408166446,0.00485367081326,0.004577822990844,0.004879288437103,0.003453218660412,0.003523701881524,0.003468497461203,0.004946260552642,0.004959342328657,0.004463529012939,0.003164434839656,0.003467903049493,0.00412927004061,0.003298994740282,0.004371169287784,0.003124214457572,0.003825224934001,0.002996040945893,0.00325545767905,0.004605535854097,0.004067920561282,0.003568581299115,0.002145622463734,0.00408413314274
alone,0.000344966365779,0.000202543952038,0.000262363898728,0.000412286126572,0.000269749518304,0.000458001282404,0.000128270908158,9.59171276017521E-05,0.000130287501086,4.35691878703381E-05,0.000219847865277,0.000100745516825,0.00012294830024,0.000218875853616,0.000350658458661,0.000179765585676,0.000145327713995,0.000203303684879,0.000130310138129,0.000265939764643,0.000178788528928,0.000148759715869,0.000312751318023,0.000113000734505,0.000192953343881,0.000376945983641,0.00037538818551,0.000311225918895,0.000285076257899,0.000287284088053,0.000161629222563,0.000142668616471,0.000536193029491,0.000276332151246,0.000479923212286,7.59272616833074E-05,0.000466439666029,0.000306309985706
am,0.003162191686311,0.003078668070971,0.003104639468276,0.002886002886003,0.002543352601156,0.001740404873134,0.001753035744826,0.001918342552035,0.002388604186572,0.002134890205647,0.003385657125269,0.001964537578078,0.003135181656114,0.002232533706881,0.002610457414478,0.001294312216869,0.000944630140968,0.002083862770013,0.003236035096864,0.000265939764643,0.002395766287635,0.002268585667001,0.003261549459387,0.002203514322843,0.001736580094933,0.001922424516567,0.001569805139406,0.001649497370141,0.002470660901791,0.003016482924552,0.001562415818113,0.0032100438706,0.002183071620069,0.00142771611477,0.00276527184222,0.002695417789757,0.003871449228042,0.00071472329998
an,0.00149485425171,0.002106457101191,0.001574183392365,0.001099429670858,0.001657032755299,0.001740404873134,0.001410979989738,0.000895226524283,0.002562320854686,0.001829905890554,0.003077870113881,0.001259318960306,0.002028646953956,0.000919278585186,0.002532533312554,0.001797655856763,0.001998256067432,0.001728081321474,0.002019807140996,0.001196728940895,0.00210970464135,0.001896686377329,0.001340362791529,0.001469009548562,0.001273492069618,0.001620867729654,0.001808688530185,0.001431639226915,0.001425381289495,0.00136459941825,0.001454663003071,0.001462353318829,0.002144772117962,0.001611937548934,0.001554037068355,0.001822254280399,0.00191240263072,0.001021033285685
